time,value
1618389003110,18435.61
1618389302587,18447.64
1618389603158,18447.62
1618389902597,18441.11
1618390203052,18437.02
1618390502503,18433.37
1618390802975,18442.14
1618391103445,18443.309999999998
1618391402866,18448.739999999998
1618391703434,18448.24
1618392002891,18448.489999999998
1618392303393,18439.35
1618392602841,18435.87
1618392903367,18425.85
1618393202840,18437.2
1618393503277,18444.28
1618393802820,18442.62
1618394103247,18454.22
1618394402736,18445.18
1618394703200,18443.129999999997
1618395002733,18440.22
1618395303210,18442.86
1618395602752,18441.46
1618395903194,18436.29
1618396202651,18433.22
1618396503137,18431.3
1618396802682,18433.239999999998
1618397103244,18435.52
1618397402680,18432.55
1618397703141,18424.75
1618398002674,18424.64
1618398303128,18446.239999999998
1618398602614,18446.88
1618398903090,18442.67
1618399202595,18446.83
1618399503034,18451.370000000003
1618399802513,18457.94
1618400103046,18463.21
1618400402578,18480.73
1618400703062,18486.89
1618401002590,18495.45
1618401303045,18496.4
1618401602558,18495.02
1618401903053,18480.739999999998
1618402202503,18488.9
1618402503038,18488.57
1618402802579,18487.46
1618403103053,18487.77
1618403402487,18491.01
1618403702934,18487.23
1618404003409,18479.21
1618404302890,18482.9
1618404603375,18465.440000000002
1618404903104,18452.57
1618405202990,18412.96
1618405502495,18419.2
1618405803174,18428.82
1618406102811,18414.94
1618406403436,18387.55
1618406703298,18388.64
1618407002935,18357.86
1618407302927,18355.36
1618407603532,18398.93
1618407903143,18387.94
1618408202787,18362.88
1618408505280,18346.87
1618408803656,18381.129999999997
1618409103509,18352.73
1618409403132,18364.37
1618409702694,18348.11
1618410003364,18303.120000000003
1618410302964,18275.32
1618410602627,18219.58
1618410903149,18257.699999999997
1618411202843,18229.43
1618411503505,18275.18
1618411803061,18337.16
1618412102595,18323.489999999998
1618412403152,18304.99
1618412702915,18269.57
1618413003530,18280.93
1618413303141,18248.04
1618413602659,18203.99
1618413903301,18174.54
1618414202889,18222.9
1618414503409,18184.04
1618414802963,18218.83
1618415103845,18237.13
1618415403466,18252.75
1618415703989,18256.83
1618416003501,18271.09
1618416303153,18215.870000000003
1618416602696,18230.7
1618416903232,18240.87
1618417202793,18308.629999999997
1618417503419,18305.14
1618417802983,18281.03
1618418103565,18280.9
1618418403134,18294.67
1618418703122,18302.32
1618419002675,18304.739999999998
1618419303262,18284.23
1618419602918,18270.64
1618419903484,18224.57
1618420203222,18238.08
1618420502842,18225.91
1618420803395,18249.489999999998
1618421102968,18254.69
1618421402547,18186.18
1618421703085,18142.53
1618422002586,18153.010000000002
1618422303340,18115.08
1618422602913,18153.73
1618422903482,18126.36
1618423203094,18042.03
1618423502879,18053.41
1618423803647,17933.059999999998
1618424103241,18019.68
1618424402964,18037.02
1618424703664,18087.15
1618425003255,18097.11
1618425302822,18027.690000000002
1618425603449,18046.27
1618425903527,18083.15
1618426203121,18034.260000000002
1618426502979,17977.41
1618426803726,17945.18
1618427103309,17907.46
1618427402874,17864.41
1618427703642,17932.83
1618428003297,17944.62
1618428303015,17980.74
1618428602599,17958.18
1618428903363,17954.09
1618429203095,17921
1618429502654,17916.45
1618429803251,17892.64
1618430102926,17883.58
1618430402557,17908.61
1618430703107,17926.06
1618431003442,17923.22
1618431303018,17928.88
1618431603025,17938.78
1618431902533,17932.78
1618432203096,17937.239999999998
1618432502551,17940.13
1618432803125,17936.75
1618433102718,17932.97
1618433403235,17931.2
1618433702727,17931.33
1618434003261,17939.54
1618434302807,17945.54
1618434603394,17943.77
1618434902881,17951.78
1618435203372,17954.21
1618435502787,17955.71
1618435803385,17962.45
1618436102913,17962.97
1618436402532,17966.64
1618436703102,17970.46
1618437002694,17977.829999999998
1618437303156,17980.18
1618437602681,17984.35
1618437903236,17981.68
1618438202755,17977.420000000002
1618438503213,17972.69
1618438802733,17978.31
1618439104086,17977.14
1618439402567,17975.17
1618439703111,17983.510000000002
1618440002671,17995.1
1618440303250,17991.96
1618440602730,17986.71
1618440903184,17985.54
1618441202873,17984.690000000002
1618441503336,17984.3
1618441802789,17984.44
1618442103475,17983.73
1618442402925,17983.27
1618442703446,17982.07
1618443002886,17980.46
1618443303357,17973.96
1618443603062,17973.86
1618443902587,17970.57
1618444203021,17968.82
1618444502502,17974.75
1618444803047,17958.19
1618445102514,17959.19
1618445403237,17961.23
1618445702784,17960.91
1618446003310,17961.19
1618446302817,17960.15
1618446602515,17960.75
1618446903113,17960.47
1618447202710,17961.27
1618447503345,17961.11
1618447802875,17961.23
1618448103325,17961.35
1618473603154,18055.32
1618473902638,18081.28
1618474203080,18068.55
1618474502606,18076.34
1618474803107,18064.75
1618475102635,18032
1618475403134,18035.53
1618475702594,18038.77
1618476003125,18039.24
1618476302576,18042.56
1618476603097,18032.71
1618476902610,18040.99
1618477203124,18046.199999999997
1618477502570,18061
1618477803067,18055.89
1618478102599,18058.31
1618478403134,18057.09
1618478702559,18065.260000000002
1618479003042,18067.72
1618479302792,18062.59
1618479603275,18065.7
1618479902706,18095.14
1618480203192,18093.52
1618480502681,18073.32
1618480803202,18073.1
1618481102653,18066.89
1618481403097,18072.39
1618481702651,18076.190000000002
1618482003101,18075.96
1618482302536,18075.97
1618482602998,18077.27
1618482902467,18081.2
1618483202954,18066.04
1618483503491,18059.190000000002
1618483802947,18066.32
1618484103392,18062.940000000002
1618484402920,18072.52
1618484703384,18051.809999999998
1618485002824,18046.5
1618485303340,18040.190000000002
1618485602884,18043.120000000003
1618485903423,18054.11
1618486202929,18059.239999999998
1618486503371,18054.81
1618486802851,18062.670000000002
1618487103378,18054.64
1618487402994,18071.239999999998
1618487702510,18062.62
1618488003271,18070.57
1618488302816,18099.550000000003
1618488603321,18105.39
1618488902801,18123.13
1618489203324,18143.64
1618489502838,18130.24
1618489803344,18123.77
1618490102879,18146.28
1618490403449,18155.22
1618490703020,18150.71
1618491002480,18141.74
1618491302985,18133.629999999997
1618491603450,18134.25
1618491903020,18113.93
1618492202501,18107.690000000002
1618492503230,18113.18
1618492802827,18102.65
1618493103350,18084.8
1618493403047,18112
1618493703076,18027.190000000002
1618494002799,18042.22
1618494303351,18025.16
1618494603014,18011.7
1618494902752,18027.49
1618495203299,18006.77
1618495502913,17958.72
1618495803541,17956.99
1618496103214,17973.66
1618496402799,17938.43
1618496703636,17962.82
1618497003225,17979.72
1618497302754,17964.29
1618497603528,17927.690000000002
1618497903246,17957.37
1618498202798,17929.93
1618498503426,17940.66
1618498803169,17934.82
1618499102766,17895.29
1618499403359,17907.28
1618499702939,17882.02
1618500003584,17830.2
1618500305350,17809.58
1618500603015,17794.91
1618500902669,17788.46
1618501203298,17829.98
1618501502876,17839.21
1618501803163,17849.85
1618502102968,17855.89
1618502403493,17831.78
1618502703081,17787.96
1618503002739,17791.559999999998
1618503303431,17795.440000000002
1618503603036,17780.35
1618503902677,17810.09
1618504203344,17791.12
1618504502980,17789.64
1618504802517,17763.73
1618505103148,17766.079999999998
1618505403403,17747.62
1618505703203,17742.04
1618506002822,17757.79
1618506303439,17740.41
1618506603038,17695.92
1618506902610,17673.01
1618507203391,17663.82
1618507503039,17673.13
1618507802655,17696.239999999998
1618508103145,17740.04
1618508402772,17753.55
1618508703322,17785.82
1618509002929,17774.71
1618509302848,17805
1618509603516,17852.39
1618509903122,17871.71
1618510202704,17834.05
1618510503341,17808.920000000002
1618510802984,17831.629999999997
1618511103626,17852.28
1618511403147,17871.21
1618511702672,17836.18
1618512003286,17852.08
1618512302995,17848.989999999998
1618512602573,17829.82
1618512903319,17834.13
1618513202923,17826.47
1618513503589,17876.09
1618513803144,17855.23
1618514102881,17815.46
1618514403481,17811.77
1618514703009,17788.329999999998
1618515003524,17758.95
1618515303151,17787.27
1618515602737,17788.76
1618515903362,17816.949999999997
1618516203112,17821.4
1618516502802,17830.2
1618516803373,17851.82
1618517102945,17851.08
1618517403920,17852.9
1618517703502,17850.989999999998
1618518003413,17856.72
1618518302901,17855.28
1618518603514,17854.28
1618518903031,17857.04
1618519202511,17846.67
1618519503074,17840.13
1618519802912,17835.05
1618520102619,17835.48
1618520403212,17824.77
1618520702737,17814.05
1618521003353,17816.379999999997
1618521302877,17819.72
1618521603406,17815.82
1618521902910,17820.19
1618522202473,17819.32
1618522502941,17819.15
1618522802596,17824.55
1618523103167,17825.21
1618523402628,17826.68
1618523703145,17830.73
1618524002654,17840.91
1618524303153,17839.48
1618524602626,17844.47
1618524903280,17846.39
1618525202831,17851.21
1618525503369,17854.61
1618525802861,17856.93
1618526103409,17857.99
1618526402987,17852.05
1618526703457,17853.16
1618527002967,17847.84
1618527302581,17853.07
1618527603040,17854.05
1618527902583,17852.89
1618528203207,17853.7
1618528504200,17853.64
1618528802778,17854.16
1618529103260,17851.67
1618529402990,17848.11
1618529702510,17849.32
1618530003116,17849.62
1618530302560,17847.35
1618530603111,17850.28
1618530902544,17847.22
1618531203171,17854.78
1618531502808,17854.9
1618531803340,17854.9
1618532102821,17854.9
1618532403318,17854.9
1618532702935,17853.9
1618533003398,17854.38
1618533302976,17854.38
1618533603506,17854.38
1618533902989,17854.5
1618534202639,17854.06
1618534503192,17854.14
1618560003046,17829.86
1618560302505,17801.420000000002
1618560603020,17812.24
1618560902447,17816.04
1618561202999,17804.76
1618561502458,17803.92
1618561802942,17815.08
1618562103367,17798.559999999998
1618562402826,17804.24
1618562703333,17807.04
1618563002803,17804.38
1618563303370,17807.18
1618563602803,17809.370000000003
1618563903433,17813.66
1618564202894,17812.33
1618564503366,17803.559999999998
1618564802933,17806.21
1618565103367,17794.86
1618565402861,17792.47
1618565703415,17801.83
1618566002893,17805.22
1618566303382,17812.36
1618566602833,17810.35
1618566903291,17813.14
1618567202740,17814.05
1618567503269,17810.67
1618567802664,17815.42
1618568103122,17810.14
1618568402631,17807.47
1618568703092,17800.82
1618569002574,17809.44
1618569303017,17804.57
1618569602474,17793.03
1618569902965,17802.03
1618570202481,17800.47
1618570502966,17803.57
1618570803440,17796.949999999997
1618571102905,17809.870000000003
1618571403350,17807.96
1618571702922,17823.85
1618572003439,17824.059999999998
1618572302937,17819.239999999998
1618572602593,17822.88
1618572903077,17824.14
1618573202607,17821.96
1618573503107,17819.75
1618573802624,17820.63
1618574103082,17818.18
1618574402592,17815.71
1618574703127,17826.23
1618575002610,17825.07
1618575303062,17832.75
1618575602526,17842.77
1618575903046,17830.66
1618576202524,17844.46
1618576503132,17857.4
1618576802579,17853.96
1618577103092,17842.35
1618577402556,17838.93
1618577703127,17839.96
1618578003593,17831.21
1618578303247,17790.35
1618578602735,17780.13
1618578903238,17755.16
1618579202897,17741.64
1618579504111,17741.45
1618579802694,17688.2
1618580103352,17602.16
1618580403050,17557.829999999998
1618580702631,17597.54
1618581003955,17637.41
1618581303519,17552.77
1618581603320,17561.56
1618581902892,17593.35
1618582202655,17644.17
1618582503290,17673.260000000002
1618582802825,17677.64
1618583102628,17710.42
1618583403274,17711.66
1618583702953,17688.120000000003
1618584002572,17709.36
1618584303463,17748.44
1618584603988,17791.190000000002
1618584903629,17795.9
1618585203182,17731.190000000002
1618585502829,17743.190000000002
1618585803413,17737.46
1618586103066,17706.87
1618586402659,17704.7
1618586703314,17729.92
1618587002841,17717.47
1618587303552,17732.1
1618587603103,17731.02
1618587902736,17730.739999999998
1618588203392,17722.67
1618588503030,17722.6
1618588802674,17727.21
1618589103313,17722.73
1618589402981,17718.68
1618589703535,17718.33
1618590003260,17726.23
1618590303042,17738.079999999998
1618590602707,17736.6
1618590903298,17735.57
1618591203026,17738.36
1618591502870,17760.1
1618591803469,17760.18
1618592103057,17738.81
1618592402570,17742.41
1618592703305,17727.21
1618593003228,17721.6
1618593302964,17700.19
1618593602570,17716.25
1618593903212,17714.559999999998
1618594203018,17716.97
1618594502639,17706.420000000002
1618594803290,17722.67
1618595103579,17732.3
1618595403175,17714.699999999997
1618595702874,17713.13
1618596003461,17691.69
1618596303291,17710.59
1618596603015,17710.94
1618596902592,17692.71
1618597203291,17703.28
1618597502981,17709.22
1618597803605,17735.76
1618598103337,17747.199999999997
1618598403060,17735.72
